Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday,Date_2016,Throughput_2016,Date_2017,Throughput_2017,Date_2018,Throughput_2018,Date_2019,Throughput_2019
0,,4:00:00,,1,Friday,1/8/16,262,,,,,,
1,,5:00:00,,1,Friday,1/8/16,668,,,,,,
2,,6:00:00,,1,Friday,1/8/16,987,,,,,,
3,,7:00:00,,1,Friday,1/8/16,1160,,,,,,
4,,8:00:00,,1,Friday,1/8/16,1434,,,,,,
5,,9:00:00,,1,Friday,1/8/16,704,,,,,,
6,,10:00:00,,1,Friday,1/8/16,740,,,,,,
7,,11:00:00,,1,Friday,1/8/16,941,,,,,,
8,,12:00:00,,1,Friday,1/8/16,1062,,,,,,
9,,13:00:00,,1,Friday,1/8/16,1193,,,,,,
10,,14:00:00,,1,Friday,1/8/16,757,,,,,,
11,,15:00:00,,1,Friday,1/8/16,987,,,,,,
12,,16:00:00,,1,Friday,1/8/16,637,,,,,,
13,,17:00:00,,1,Friday,1/8/16,850,,,,,,
14,,18:00:00,,1,Friday,1/8/16,486,,,,,,
15,,19:00:00,,1,Friday,1/8/16,238,,,,,,
16,,20:00:00,,1,Friday,1/8/16,324,,,,,,
17,,21:00:00,,1,Friday,1/8/16,20,,,,,,
18,,4:00:00,,1,Monday,1/4/16,287,,,12/31/18,510,12/30/19,739
19,,5:00:00,,1,Monday,1/4/16,764,,,12/31/18,1041,12/30/19,973
20,,6:00:00,,1,Monday,1/4/16,1027,,,12/31/18,760,12/30/19,925
21,,7:00:00,,1,Monday,1/4/16,1234,,,12/31/18,1041,12/30/19,1011
22,,8:00:00,,1,Monday,1/4/16,1225,,,12/31/18,808,12/30/19,1017
23,,9:00:00,,1,Monday,1/4/16,507,,,12/31/18,800,12/30/19,379
24,,10:00:00,,1,Monday,1/4/16,586,,,12/31/18,932,12/30/19,575
25,,11:00:00,,1,Monday,1/4/16,857,,,12/31/18,919,12/30/19,801
26,,12:00:00,,1,Monday,1/4/16,631,,,12/31/18,982,12/30/19,893
27,,13:00:00,,1,Monday,1/4/16,748,,,12/31/18,784,12/30/19,895
28,,14:00:00,,1,Monday,1/4/16,775,,,12/31/18,533,12/30/19,690
29,,15:00:00,,1,Monday,1/4/16,794,,,12/31/18,520,12/30/19,681
30,,16:00:00,,1,Monday,1/4/16,575,,,12/31/18,392,12/30/19,783
31,,17:00:00,,1,Monday,1/4/16,477,,,12/31/18,414,12/30/19,929
32,,18:00:00,,1,Monday,1/4/16,384,,,12/31/18,176,12/30/19,713
33,,19:00:00,,1,Monday,1/4/16,211,,,12/31/18,25,12/30/19,613
34,,20:00:00,,1,Monday,1/4/16,158,,,,,12/30/19,292
35,,21:00:00,,1,Monday,1/4/16,44,,,,,12/30/19,173
36,,4:00:00,,1,Saturday,1/9/16,165,,,,,,
37,,5:00:00,,1,Saturday,1/9/16,374,,,,,,
38,,6:00:00,,1,Saturday,1/9/16,789,,,,,,
39,,7:00:00,,1,Saturday,1/9/16,951,,,,,,
40,,8:00:00,,1,Saturday,1/9/16,937,,,,,,
41,,9:00:00,,1,Saturday,1/9/16,851,,,,,,
42,,10:00:00,,1,Saturday,1/9/16,622,,,,,,
43,,11:00:00,,1,Saturday,1/9/16,709,,,,,,
44,,12:00:00,,1,Saturday,1/9/16,796,,,,,,
45,,13:00:00,,1,Saturday,1/9/16,1011,,,,,,
46,,14:00:00,,1,Saturday,1/9/16,854,,,,,,
47,,15:00:00,,1,Saturday,1/9/16,681,,,,,,
48,,16:00:00,,1,Saturday,1/9/16,623,,,,,,
49,,17:00:00,,1,Saturday,1/9/16,338,,,,,,
50,,18:00:00,,1,Saturday,1/9/16,203,,,,,,
51,,19:00:00,,1,Saturday,1/9/16,33,,,,,,
52,,20:00:00,,1,Saturday,1/9/16,3,,,,,,
53,,4:00:00,,1,Sunday,1/10/16,98,1/8/17,196,1/7/18,290,1/6/19,455
54,,5:00:00,,1,Sunday,1/10/16,387,1/8/17,352,1/7/18,991,1/6/19,1272
55,,6:00:00,,1,Sunday,1/10/16,822,1/8/17,987,1/7/18,1307,1/6/19,1347
56,,7:00:00,,1,Sunday,1/10/16,1679,1/8/17,1282,1/7/18,1349,1/6/19,1175
57,,8:00:00,,1,Sunday,1/10/16,1291,1/8/17,1763,1/7/18,1003,1/6/19,1196
58,,9:00:00,,1,Sunday,1/10/16,1113,1/8/17,1751,1/7/18,922,1/6/19,948
59,,10:00:00,,1,Sunday,1/10/16,1155,1/8/17,1425,1/7/18,1080,1/6/19,1016
60,,11:00:00,,1,Sunday,1/10/16,912,1/8/17,927,1/7/18,1195,1/6/19,1285
61,,12:00:00,,1,Sunday,1/10/16,867,1/8/17,1454,1/7/18,1115,1/6/19,1272
62,,13:00:00,,1,Sunday,1/10/16,1132,1/8/17,1283,1/7/18,801,1/6/19,629
63,,14:00:00,,1,Sunday,1/10/16,922,1/8/17,1367,1/7/18,878,1/6/19,826
64,,15:00:00,,1,Sunday,1/10/16,743,1/8/17,1060,1/7/18,817,1/6/19,809
65,,16:00:00,,1,Sunday,1/10/16,621,1/8/17,1058,1/7/18,792,1/6/19,855
66,,17:00:00,,1,Sunday,1/10/16,1026,1/8/17,1045,1/7/18,839,1/6/19,907
67,,18:00:00,,1,Sunday,1/10/16,465,1/8/17,757,1/7/18,766,1/6/19,783
68,,19:00:00,,1,Sunday,1/10/16,219,1/8/17,568,1/7/18,649,1/6/19,664
69,,20:00:00,,1,Sunday,1/10/16,323,1/8/17,157,1/7/18,341,1/6/19,390
70,,21:00:00,,1,Sunday,1/10/16,15,,,1/7/18,233,,
71,,4:00:00,,1,Thursday,1/7/16,134,,,,,,
72,,5:00:00,,1,Thursday,1/7/16,322,,,,,,
73,,6:00:00,,1,Thursday,1/7/16,463,,,,,,
74,,7:00:00,,1,Thursday,1/7/16,650,,,,,,
75,,8:00:00,,1,Thursday,1/7/16,599,,,,,,
76,,9:00:00,,1,Thursday,1/7/16,354,,,,,,
77,,10:00:00,,1,Thursday,1/7/16,414,,,,,,
78,,11:00:00,,1,Thursday,1/7/16,443,,,,,,
79,,12:00:00,,1,Thursday,1/7/16,769,,,,,,
80,,13:00:00,,1,Thursday,1/7/16,607,,,,,,
81,,14:00:00,,1,Thursday,1/7/16,625,,,,,,
82,,15:00:00,,1,Thursday,1/7/16,657,,,,,,
83,,16:00:00,,1,Thursday,1/7/16,521,,,,,,
84,,17:00:00,,1,Thursday,1/7/16,561,,,,,,
85,,18:00:00,,1,Thursday,1/7/16,498,,,,,,
86,,19:00:00,,1,Thursday,1/7/16,351,,,,,,
87,,20:00:00,,1,Thursday,1/7/16,254,,,,,,
88,,21:00:00,,1,Thursday,1/7/16,41,,,,,,
89,,4:00:00,,1,Tuesday,1/5/16,155,,,,,12/31/19,683
90,,5:00:00,,1,Tuesday,1/5/16,269,,,,,12/31/19,846
91,,6:00:00,,1,Tuesday,1/5/16,636,,,,,12/31/19,760
92,,7:00:00,,1,Tuesday,1/5/16,681,,,,,12/31/19,1067
93,,8:00:00,,1,Tuesday,1/5/16,732,,,,,12/31/19,945
94,,9:00:00,,1,Tuesday,1/5/16,674,,,,,12/31/19,927
95,,10:00:00,,1,Tuesday,1/5/16,430,,,,,12/31/19,804
96,,11:00:00,,1,Tuesday,1/5/16,507,,,,,12/31/19,871
97,,12:00:00,,1,Tuesday,1/5/16,427,,,,,12/31/19,674
98,,13:00:00,,1,Tuesday,1/5/16,629,,,,,12/31/19,637
99,,14:00:00,,1,Tuesday,1/5/16,378,,,,,12/31/19,680
100,,15:00:00,,1,Tuesday,1/5/16,492,,,,,12/31/19,665
101,,16:00:00,,1,Tuesday,1/5/16,513,,,,,12/31/19,508
102,,17:00:00,,1,Tuesday,1/5/16,384,,,,,12/31/19,407
103,,18:00:00,,1,Tuesday,1/5/16,284,,,,,12/31/19,170
104,,19:00:00,,1,Tuesday,1/5/16,189,,,,,12/31/19,66
105,,20:00:00,,1,Tuesday,1/5/16,164,,,,,12/31/19,5
106,,21:00:00,,1,Tuesday,1/5/16,32,,,,,,
107,,4:00:00,,1,Wednesday,1/6/16,136,,,,,,
108,,5:00:00,,1,Wednesday,1/6/16,390,,,,,,
109,,6:00:00,,1,Wednesday,1/6/16,591,,,,,,
110,,7:00:00,,1,Wednesday,1/6/16,647,,,,,,
111,,8:00:00,,1,Wednesday,1/6/16,581,,,,,,
112,,9:00:00,,1,Wednesday,1/6/16,570,,,,,,
113,,10:00:00,,1,Wednesday,1/6/16,437,,,,,,
114,,11:00:00,,1,Wednesday,1/6/16,424,,,,,,
115,,12:00:00,,1,Wednesday,1/6/16,426,,,,,,
116,,13:00:00,,1,Wednesday,1/6/16,546,,,,,,
117,,14:00:00,,1,Wednesday,1/6/16,503,,,,,,
118,,15:00:00,,1,Wednesday,1/6/16,400,,,,,,
119,,16:00:00,,1,Wednesday,1/6/16,335,,,,,,
