Index,Date_2019,Hour,Throughput_2019,Week Number,Weekday
0,5/28/19,10:00:00,0,22,Tuesday
1,5/29/19,10:00:00,0,22,Wednesday
2,5/30/19,10:00:00,0,22,Thursday
3,6/1/19,10:00:00,0,22,Saturday
4,6/2/19,10:00:00,0,22,Sunday
5,6/3/19,10:00:00,0,23,Monday
6,6/4/19,10:00:00,15,23,Tuesday
7,6/4/19,11:00:00,8,23,Tuesday
8,6/4/19,12:00:00,47,23,Tuesday
9,6/4/19,13:00:00,93,23,Tuesday
10,6/5/19,4:00:00,0,23,Wednesday
11,6/6/19,10:00:00,29,23,Thursday
12,6/6/19,11:00:00,36,23,Thursday
13,6/6/19,12:00:00,38,23,Thursday
14,6/6/19,13:00:00,15,23,Thursday
15,6/7/19,10:00:00,0,23,Friday
16,6/8/19,10:00:00,0,23,Saturday
17,6/9/19,10:00:00,0,23,Sunday
18,6/10/19,12:00:00,8,24,Monday
19,6/10/19,13:00:00,25,24,Monday
20,6/11/19,10:00:00,14,24,Tuesday
21,6/11/19,11:00:00,105,24,Tuesday
22,6/11/19,12:00:00,109,24,Tuesday
23,6/11/19,13:00:00,89,24,Tuesday
24,6/11/19,14:00:00,96,24,Tuesday
25,6/11/19,15:00:00,39,24,Tuesday
26,6/12/19,10:00:00,26,24,Wednesday
27,6/12/19,11:00:00,24,24,Wednesday
28,6/12/19,13:00:00,64,24,Wednesday
29,6/12/19,14:00:00,75,24,Wednesday
30,6/12/19,15:00:00,37,24,Wednesday
31,6/13/19,10:00:00,87,24,Thursday
32,6/13/19,11:00:00,89,24,Thursday
33,6/13/19,12:00:00,26,24,Thursday
34,6/13/19,13:00:00,43,24,Thursday
35,6/13/19,14:00:00,32,24,Thursday
36,6/13/19,15:00:00,21,24,Thursday
37,6/14/19,10:00:00,0,24,Friday
38,6/15/19,10:00:00,0,24,Saturday
39,6/16/19,10:00:00,0,24,Sunday
40,6/17/19,10:00:00,0,25,Monday
41,6/18/19,10:00:00,0,25,Tuesday
42,6/19/19,10:00:00,130,25,Wednesday
43,6/19/19,11:00:00,109,25,Wednesday
44,6/19/19,12:00:00,140,25,Wednesday
45,6/19/19,15:00:00,120,25,Wednesday
46,6/20/19,10:00:00,117,25,Thursday
47,6/20/19,11:00:00,164,25,Thursday
48,6/20/19,12:00:00,132,25,Thursday
49,6/20/19,13:00:00,107,25,Thursday
50,6/21/19,10:00:00,0,25,Friday
51,6/22/19,10:00:00,0,25,Saturday
52,6/23/19,10:00:00,63,25,Sunday
53,6/23/19,11:00:00,101,25,Sunday
54,6/23/19,12:00:00,115,25,Sunday
55,6/23/19,13:00:00,105,25,Sunday
56,6/24/19,10:00:00,66,26,Monday
57,6/24/19,11:00:00,108,26,Monday
58,6/24/19,12:00:00,106,26,Monday
59,6/24/19,13:00:00,28,26,Monday
60,6/25/19,10:00:00,71,26,Tuesday
61,6/25/19,11:00:00,114,26,Tuesday
62,6/25/19,12:00:00,129,26,Tuesday
63,6/25/19,13:00:00,129,26,Tuesday
64,6/26/19,10:00:00,33,26,Wednesday
65,6/26/19,11:00:00,114,26,Wednesday
66,6/26/19,12:00:00,120,26,Wednesday
67,6/26/19,13:00:00,110,26,Wednesday
68,6/27/19,10:00:00,99,26,Thursday
69,6/27/19,11:00:00,149,26,Thursday
70,6/27/19,12:00:00,81,26,Thursday
71,6/27/19,13:00:00,43,26,Thursday
72,6/28/19,10:00:00,0,26,Friday
73,6/29/19,10:00:00,0,26,Saturday
74,6/30/19,10:00:00,67,26,Sunday
75,6/30/19,11:00:00,48,26,Sunday
76,6/30/19,12:00:00,71,26,Sunday
77,6/30/19,13:00:00,29,26,Sunday
78,7/1/19,10:00:00,40,27,Monday
79,7/1/19,11:00:00,66,27,Monday
80,7/1/19,12:00:00,45,27,Monday
81,7/1/19,13:00:00,33,27,Monday
82,7/2/19,10:00:00,55,27,Tuesday
83,7/2/19,11:00:00,35,27,Tuesday
84,7/2/19,12:00:00,28,27,Tuesday
85,7/2/19,13:00:00,35,27,Tuesday
86,7/3/19,10:00:00,11,27,Wednesday
87,7/3/19,11:00:00,35,27,Wednesday
88,7/3/19,12:00:00,34,27,Wednesday
89,7/3/19,13:00:00,15,27,Wednesday
90,7/4/19,10:00:00,54,27,Thursday
91,7/4/19,11:00:00,16,27,Thursday
92,7/4/19,12:00:00,21,27,Thursday
93,7/4/19,13:00:00,24,27,Thursday
94,7/5/19,10:00:00,0,27,Friday
95,7/6/19,10:00:00,0,27,Saturday
96,7/7/19,10:00:00,50,27,Sunday
97,7/7/19,11:00:00,37,27,Sunday
98,7/7/19,12:00:00,26,27,Sunday
99,7/7/19,13:00:00,20,27,Sunday
100,7/8/19,10:00:00,20,28,Monday
101,7/8/19,11:00:00,46,28,Monday
102,7/8/19,12:00:00,71,28,Monday
103,7/8/19,13:00:00,25,28,Monday
104,7/9/19,10:00:00,45,28,Tuesday
105,7/9/19,11:00:00,57,28,Tuesday
106,7/9/19,12:00:00,64,28,Tuesday
107,7/9/19,13:00:00,39,28,Tuesday
108,7/10/19,10:00:00,28,28,Wednesday
109,7/10/19,11:00:00,41,28,Wednesday
110,7/10/19,12:00:00,82,28,Wednesday
111,7/10/19,13:00:00,36,28,Wednesday
112,7/11/19,10:00:00,109,28,Thursday
113,7/11/19,11:00:00,65,28,Thursday
114,7/11/19,12:00:00,52,28,Thursday
115,7/11/19,13:00:00,29,28,Thursday
116,7/12/19,10:00:00,0,28,Friday
117,7/13/19,10:00:00,0,28,Saturday
118,7/14/19,10:00:00,37,28,Sunday
119,7/14/19,11:00:00,12,28,Sunday
120,7/14/19,12:00:00,16,28,Sunday
121,7/14/19,13:00:00,2,28,Sunday
122,7/15/19,10:00:00,70,29,Monday
123,7/15/19,11:00:00,34,29,Monday
124,7/15/19,12:00:00,36,29,Monday
125,7/15/19,13:00:00,30,29,Monday
126,7/16/19,10:00:00,30,29,Tuesday
127,7/16/19,11:00:00,61,29,Tuesday
128,7/16/19,12:00:00,46,29,Tuesday
129,7/16/19,13:00:00,34,29,Tuesday
130,7/17/19,10:00:00,21,29,Wednesday
131,7/17/19,11:00:00,23,29,Wednesday
132,7/17/19,12:00:00,79,29,Wednesday
133,7/17/19,13:00:00,27,29,Wednesday
134,7/18/19,10:00:00,54,29,Thursday
135,7/18/19,11:00:00,58,29,Thursday
136,7/18/19,12:00:00,39,29,Thursday
137,7/18/19,13:00:00,24,29,Thursday
138,7/19/19,10:00:00,0,29,Friday
139,7/20/19,10:00:00,0,29,Saturday
140,7/21/19,10:00:00,23,29,Sunday
141,7/21/19,11:00:00,36,29,Sunday
142,7/21/19,12:00:00,69,29,Sunday
143,7/21/19,13:00:00,5,29,Sunday
144,7/22/19,10:00:00,17,30,Monday
145,7/22/19,11:00:00,15,30,Monday
146,7/22/19,12:00:00,7,30,Monday
147,7/22/19,13:00:00,9,30,Monday
148,7/23/19,10:00:00,18,30,Tuesday
149,7/23/19,11:00:00,26,30,Tuesday
150,7/23/19,12:00:00,11,30,Tuesday
151,7/23/19,13:00:00,9,30,Tuesday
152,7/24/19,10:00:00,1,30,Wednesday
153,7/24/19,11:00:00,13,30,Wednesday
