Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday,Date_2016,Throughput_2016,Date_2017,Throughput_2017,Date_2018,Throughput_2018,Date_2019,Throughput_2019
0,,4:00:00,,1,Friday,1/8/16,735,,,,,,
1,,5:00:00,,1,Friday,1/8/16,991,,,,,,
2,,6:00:00,,1,Friday,1/8/16,1019,,,,,,
3,,7:00:00,,1,Friday,1/8/16,827,,,,,,
4,,8:00:00,,1,Friday,1/8/16,979,,,,,,
5,,9:00:00,,1,Friday,1/8/16,1073,,,,,,
6,,10:00:00,,1,Friday,1/8/16,1176,,,,,,
7,,11:00:00,,1,Friday,1/8/16,2405,,,,,,
8,,12:00:00,,1,Friday,1/8/16,926,,,,,,
9,,13:00:00,,1,Friday,1/8/16,1027,,,,,,
10,,14:00:00,,1,Friday,1/8/16,1053,,,,,,
11,,15:00:00,,1,Friday,1/8/16,783,,,,,,
12,,16:00:00,,1,Friday,1/8/16,717,,,,,,
13,,17:00:00,,1,Friday,1/8/16,746,,,,,,
14,,18:00:00,,1,Friday,1/8/16,702,,,,,,
15,,19:00:00,,1,Friday,1/8/16,454,,,,,,
16,,20:00:00,,1,Friday,1/8/16,827,,,,,,
17,,21:00:00,,1,Friday,1/8/16,953,,,,,,
18,,4:00:00,,1,Monday,1/4/16,651,,,12/31/18,639,12/30/19,794
19,,5:00:00,,1,Monday,1/4/16,798,,,12/31/18,1070,12/30/19,1385
20,,6:00:00,,1,Monday,1/4/16,877,,,12/31/18,1159,12/30/19,1220
21,,7:00:00,,1,Monday,1/4/16,698,,,12/31/18,1085,12/30/19,1175
22,,8:00:00,,1,Monday,1/4/16,879,,,12/31/18,995,12/30/19,1272
23,,9:00:00,,1,Monday,1/4/16,1208,,,12/31/18,1131,12/30/19,1026
24,,10:00:00,,1,Monday,1/4/16,1051,,,12/31/18,1552,12/30/19,1273
25,,11:00:00,,1,Monday,1/4/16,1717,,,12/31/18,1635,12/30/19,1352
26,,12:00:00,,1,Monday,1/4/16,1223,,,12/31/18,1545,12/30/19,1687
27,,13:00:00,,1,Monday,1/4/16,992,,,12/31/18,1200,12/30/19,1197
28,,14:00:00,,1,Monday,1/4/16,963,,,12/31/18,1041,12/30/19,1201
29,,15:00:00,,1,Monday,1/4/16,741,,,12/31/18,987,12/30/19,917
30,,16:00:00,,1,Monday,1/4/16,452,,,12/31/18,835,12/30/19,1247
31,,17:00:00,,1,Monday,1/4/16,646,,,12/31/18,794,12/30/19,1647
32,,18:00:00,,1,Monday,1/4/16,1327,,,12/31/18,619,12/30/19,952
33,,19:00:00,,1,Monday,1/4/16,887,,,12/31/18,568,12/30/19,755
34,,20:00:00,,1,Monday,1/4/16,856,,,12/31/18,684,12/30/19,960
35,,21:00:00,,1,Monday,1/4/16,958,,,12/31/18,719,12/30/19,1208
36,,4:00:00,,1,Saturday,1/9/16,686,,,,,,
37,,5:00:00,,1,Saturday,1/9/16,846,,,,,,
38,,6:00:00,,1,Saturday,1/9/16,923,,,,,,
39,,7:00:00,,1,Saturday,1/9/16,909,,,,,,
40,,8:00:00,,1,Saturday,1/9/16,801,,,,,,
