Index,Date_2017,Hour,Throughput_2017,Week Number,Weekday,Date_2018,Throughput_2018,Date_2019,Throughput_2019
0,,6:00:00,,1,Monday,,,12/30/19,15
1,,7:00:00,,1,Monday,12/31/18,6,12/30/19,7
2,,8:00:00,,1,Monday,12/31/18,4,12/30/19,9
3,,9:00:00,,1,Monday,,,12/30/19,2
4,,10:00:00,,1,Monday,,,12/30/19,6
5,,11:00:00,,1,Monday,,,12/30/19,1
6,,12:00:00,,1,Monday,,,12/30/19,3
7,,13:00:00,,1,Monday,12/31/18,5,12/30/19,3
8,,14:00:00,,1,Monday,,,12/30/19,1
9,,16:00:00,,1,Monday,12/31/18,3,,
10,,21:00:00,,1,Monday,12/31/18,2,,
11,,6:00:00,,1,Sunday,1/7/18,2,,
12,,9:00:00,,1,Sunday,1/7/18,3,,
13,,14:00:00,,1,Sunday,1/7/18,1,,
14,,17:00:00,,1,Sunday,1/7/18,5,,
15,,18:00:00,,1,Sunday,1/7/18,17,,
16,,20:00:00,,1,Sunday,1/7/18,20,,
17,,21:00:00,,1,Sunday,1/7/18,16,,
18,,7:00:00,,1,Tuesday,,,12/31/19,3
19,,8:00:00,,1,Tuesday,,,12/31/19,1
20,,9:00:00,,1,Tuesday,,,12/31/19,5
21,,17:00:00,,1,Tuesday,,,12/31/19,1
22,,5:00:00,,2,Friday,1/12/18,2,,
23,,6:00:00,,2,Friday,,,1/11/19,1
24,,9:00:00,,2,Friday,,,1/11/19,2
25,,11:00:00,,2,Friday,,,1/11/19,1
26,,13:00:00,,2,Friday,1/12/18,3,,
27,,15:00:00,,2,Friday,1/12/18,2,,
28,,16:00:00,,2,Friday,,,1/11/19,1
29,,19:00:00,,2,Friday,1/12/18,21,,
30,,21:00:00,,2,Friday,1/12/18,17,,
31,,7:00:00,,2,Monday,,,1/7/19,7
32,,8:00:00,,2,Monday,1/8/18,1,,
33,,10:00:00,,2,Monday,1/8/18,2,1/7/19,3
34,,11:00:00,,2,Monday,,,1/7/19,3
35,,12:00:00,,2,Monday,1/8/18,3,1/7/19,7
36,,13:00:00,,2,Monday,1/8/18,1,,
37,,14:00:00,,2,Monday,1/8/18,2,1/7/19,3
38,,15:00:00,,2,Monday,1/8/18,2,,
39,,16:00:00,,2,Monday,1/8/18,1,1/7/19,5
40,,17:00:00,,2,Monday,1/8/18,2,,
41,,18:00:00,,2,Monday,1/8/18,1,,
42,,20:00:00,,2,Monday,1/8/18,19,,
43,,21:00:00,,2,Monday,1/8/18,1,1/7/19,2
44,,7:00:00,,2,Saturday,,,1/12/19,3
45,,8:00:00,,2,Saturday,1/13/18,3,,
46,,9:00:00,,2,Saturday,1/13/18,18,1/12/19,5
47,,10:00:00,,2,Saturday,1/13/18,1,1/12/19,3
48,,14:00:00,,2,Saturday,1/13/18,2,,
49,,15:00:00,,2,Saturday,1/13/18,2,1/12/19,8
50,,16:00:00,,2,Saturday,,,1/12/19,4
51,,18:00:00,,2,Saturday,1/13/18,2,,
52,,19:00:00,,2,Saturday,1/13/18,16,,
53,,20:00:00,,2,Saturday,1/13/18,4,,
54,,21:00:00,,2,Saturday,,,1/12/19,1
