Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday,Date_2016,Throughput_2016,Date_2017,Throughput_2017,Date_2018,Throughput_2018,Date_2019,Throughput_2019
0,,6:00:00,,1,Friday,1/8/16,341,,,,,,
1,,7:00:00,,1,Friday,1/8/16,528,,,,,,
2,,8:00:00,,1,Friday,1/8/16,815,,,,,,
3,,9:00:00,,1,Friday,1/8/16,1554,,,,,,
4,,10:00:00,,1,Friday,1/8/16,1124,,,,,,
5,,11:00:00,,1,Friday,1/8/16,762,,,,,,
6,,12:00:00,,1,Friday,1/8/16,1357,,,,,,
7,,13:00:00,,1,Friday,1/8/16,1289,,,,,,
8,,14:00:00,,1,Friday,1/8/16,1306,,,,,,
9,,15:00:00,,1,Friday,1/8/16,578,,,,,,
10,,16:00:00,,1,Friday,1/8/16,624,,,,,,
11,,17:00:00,,1,Friday,1/8/16,942,,,,,,
12,,18:00:00,,1,Friday,1/8/16,1029,,,,,,
13,,19:00:00,,1,Friday,1/8/16,1767,,,,,,
14,,20:00:00,,1,Friday,1/8/16,1927,,,,,,
15,,21:00:00,,1,Friday,1/8/16,1937,,,,,,
16,,6:00:00,,1,Monday,1/4/16,347,,,12/31/18,150,12/30/19,340
17,,7:00:00,,1,Monday,1/4/16,588,,,12/31/18,593,12/30/19,898
18,,8:00:00,,1,Monday,1/4/16,1115,,,12/31/18,1338,12/30/19,1326
19,,9:00:00,,1,Monday,1/4/16,1423,,,12/31/18,1558,12/30/19,1641
20,,10:00:00,,1,Monday,1/4/16,1231,,,12/31/18,722,12/30/19,1017
21,,11:00:00,,1,Monday,1/4/16,942,,,12/31/18,697,12/30/19,838
22,,12:00:00,,1,Monday,1/4/16,1227,,,12/31/18,916,12/30/19,1336
23,,13:00:00,,1,Monday,1/4/16,1396,,,12/31/18,1227,12/30/19,1438
24,,14:00:00,,1,Monday,1/4/16,1691,,,12/31/18,860,12/30/19,974
25,,15:00:00,,1,Monday,1/4/16,1149,,,12/31/18,890,12/30/19,758
26,,16:00:00,,1,Monday,1/4/16,862,,,12/31/18,746,12/30/19,884
27,,17:00:00,,1,Monday,1/4/16,970,,,12/31/18,849,12/30/19,1146
28,,18:00:00,,1,Monday,1/4/16,984,,,12/31/18,1032,12/30/19,1558
29,,19:00:00,,1,Monday,1/4/16,1481,,,12/31/18,1556,12/30/19,1618
30,,20:00:00,,1,Monday,1/4/16,1716,,,12/31/18,1962,12/30/19,1949
31,,21:00:00,,1,Monday,1/4/16,1608,,,12/31/18,2032,12/30/19,2069
32,,6:00:00,,1,Saturday,1/9/16,392,,,,,,
33,,7:00:00,,1,Saturday,1/9/16,543,,,,,,
34,,8:00:00,,1,Saturday,1/9/16,1122,,,,,,
35,,9:00:00,,1,Saturday,1/9/16,1564,,,,,,
36,,10:00:00,,1,Saturday,1/9/16,1189,,,,,,
37,,11:00:00,,1,Saturday,1/9/16,981,,,,,,
38,,12:00:00,,1,Saturday,1/9/16,1365,,,,,,
39,,13:00:00,,1,Saturday,1/9/16,1237,,,,,,
40,,14:00:00,,1,Saturday,1/9/16,1709,,,,,,
41,,15:00:00,,1,Saturday,1/9/16,1064,,,,,,
42,,16:00:00,,1,Saturday,1/9/16,741,,,,,,
43,,17:00:00,,1,Saturday,1/9/16,1055,,,,,,
44,,18:00:00,,1,Saturday,1/9/16,1041,,,,,,
45,,19:00:00,,1,Saturday,1/9/16,1628,,,,,,
46,,20:00:00,,1,Saturday,1/9/16,1753,,,,,,
47,,21:00:00,,1,Saturday,1/9/16,1710,,,,,,
48,,6:00:00,,1,Sunday,1/10/16,289,1/8/17,250,1/7/18,289,1/6/19,126
49,,7:00:00,,1,Sunday,1/10/16,472,1/8/17,555,1/7/18,623,1/6/19,771
50,,8:00:00,,1,Sunday,1/10/16,1083,1/8/17,1162,1/7/18,1211,1/6/19,1733
51,,9:00:00,,1,Sunday,1/10/16,1269,1/8/17,1450,1/7/18,2053,1/6/19,1843
52,,10:00:00,,1,Sunday,1/10/16,1490,1/8/17,1476,1/7/18,1503,1/6/19,1279
53,,11:00:00,,1,Sunday,1/10/16,1150,1/8/17,811,1/7/18,851,1/6/19,1234
54,,12:00:00,,1,Sunday,1/10/16,961,1/8/17,943,1/7/18,1069,1/6/19,1243
55,,13:00:00,,1,Sunday,1/10/16,1066,1/8/17,1369,1/7/18,1359,1/6/19,1681
56,,14:00:00,,1,Sunday,1/10/16,1277,1/8/17,1299,1/7/18,1561,1/6/19,1381
57,,15:00:00,,1,Sunday,1/10/16,1354,1/8/17,657,1/7/18,942,1/6/19,1054
58,,16:00:00,,1,Sunday,1/10/16,857,1/8/17,674,1/7/18,688,1/6/19,963
59,,17:00:00,,1,Sunday,1/10/16,910,1/8/17,731,1/7/18,898,1/6/19,1385
60,,18:00:00,,1,Sunday,1/10/16,1288,1/8/17,1290,1/7/18,1005,1/6/19,1284
61,,19:00:00,,1,Sunday,1/10/16,1765,1/8/17,2050,1/7/18,1646,1/6/19,1699
62,,20:00:00,,1,Sunday,1/10/16,1967,1/8/17,1491,1/7/18,2134,1/6/19,2047
63,,21:00:00,,1,Sunday,1/10/16,2105,1/8/17,1797,1/7/18,2104,1/6/19,2327
64,,6:00:00,,1,Thursday,1/7/16,405,,,,,,
65,,7:00:00,,1,Thursday,1/7/16,681,,,,,,
66,,8:00:00,,1,Thursday,1/7/16,975,,,,,,
67,,9:00:00,,1,Thursday,1/7/16,1356,,,,,,
68,,10:00:00,,1,Thursday,1/7/16,1180,,,,,,
69,,11:00:00,,1,Thursday,1/7/16,912,,,,,,
70,,12:00:00,,1,Thursday,1/7/16,1737,,,,,,
71,,13:00:00,,1,Thursday,1/7/16,1316,,,,,,
72,,14:00:00,,1,Thursday,1/7/16,1636,,,,,,
73,,15:00:00,,1,Thursday,1/7/16,736,,,,,,
74,,16:00:00,,1,Thursday,1/7/16,555,,,,,,
75,,17:00:00,,1,Thursday,1/7/16,854,,,,,,
76,,18:00:00,,1,Thursday,1/7/16,961,,,,,,
77,,19:00:00,,1,Thursday,1/7/16,1853,,,,,,
78,,20:00:00,,1,Thursday,1/7/16,1509,,,,,,
79,,21:00:00,,1,Thursday,1/7/16,1591,,,,,,
80,,6:00:00,,1,Tuesday,1/5/16,389,,,,,12/31/19,323
81,,7:00:00,,1,Tuesday,1/5/16,623,,,,,12/31/19,963
82,,8:00:00,,1,Tuesday,1/5/16,1047,,,,,12/31/19,1269
83,,9:00:00,,1,Tuesday,1/5/16,1354,,,,,12/31/19,1724
84,,10:00:00,,1,Tuesday,1/5/16,1696,,,,,12/31/19,921
85,,11:00:00,,1,Tuesday,1/5/16,948,,,,,12/31/19,854
86,,12:00:00,,1,Tuesday,1/5/16,941,,,,,12/31/19,1015
87,,13:00:00,,1,Tuesday,1/5/16,1248,,,,,12/31/19,1343
88,,14:00:00,,1,Tuesday,1/5/16,1655,,,,,12/31/19,920
89,,15:00:00,,1,Tuesday,1/5/16,831,,,,,12/31/19,682
90,,16:00:00,,1,Tuesday,1/5/16,805,,,,,12/31/19,861
91,,17:00:00,,1,Tuesday,1/5/16,731,,,,,12/31/19,999
92,,18:00:00,,1,Tuesday,1/5/16,991,,,,,12/31/19,918
93,,19:00:00,,1,Tuesday,1/5/16,1745,,,,,12/31/19,1217
94,,20:00:00,,1,Tuesday,1/5/16,1575,,,,,12/31/19,1534
95,,21:00:00,,1,Tuesday,1/5/16,2160,,,,,12/31/19,1183
96,,6:00:00,,1,Wednesday,1/6/16,375,,,,,,
97,,7:00:00,,1,Wednesday,1/6/16,541,,,,,,
98,,8:00:00,,1,Wednesday,1/6/16,1219,,,,,,
99,,9:00:00,,1,Wednesday,1/6/16,1483,,,,,,
100,,10:00:00,,1,Wednesday,1/6/16,1349,,,,,,
101,,11:00:00,,1,Wednesday,1/6/16,922,,,,,,
102,,12:00:00,,1,Wednesday,1/6/16,1142,,,,,,
103,,13:00:00,,1,Wednesday,1/6/16,1573,,,,,,
104,,14:00:00,,1,Wednesday,1/6/16,1744,,,,,,
105,,15:00:00,,1,Wednesday,1/6/16,964,,,,,,
106,,16:00:00,,1,Wednesday,1/6/16,912,,,,,,
107,,17:00:00,,1,Wednesday,1/6/16,793,,,,,,
108,,18:00:00,,1,Wednesday,1/6/16,988,,,,,,
109,,19:00:00,,1,Wednesday,1/6/16,1670,,,,,,
110,,20:00:00,,1,Wednesday,1/6/16,1811,,,,,,
111,,21:00:00,,1,Wednesday,1/6/16,1760,,,,,,
112,,6:00:00,,2,Friday,1/15/16,395,1/13/17,301,1/12/18,166,1/11/19,131
113,,7:00:00,,2,Friday,1/15/16,451,1/13/17,353,1/12/18,709,1/11/19,962
114,,8:00:00,,2,Friday,1/15/16,718,1/13/17,809,1/12/18,1319,1/11/19,1590
115,,9:00:00,,2,Friday,1/15/16,1574,1/13/17,1144,1/12/18,1717,1/11/19,1260
116,,10:00:00,,2,Friday,1/15/16,961,1/13/17,889,1/12/18,649,1/11/19,689
117,,11:00:00,,2,Friday,1/15/16,666,1/13/17,565,1/12/18,929,1/11/19,649
118,,12:00:00,,2,Friday,1/15/16,1142,1/13/17,719,1/12/18,1202,1/11/19,960
119,,13:00:00,,2,Friday,1/15/16,1624,1/13/17,1004,1/12/18,1320,1/11/19,1288
120,,14:00:00,,2,Friday,1/15/16,1221,1/13/17,1035,1/12/18,973,1/11/19,945
121,,15:00:00,,2,Friday,1/15/16,672,1/13/17,563,1/12/18,822,1/11/19,981
122,,16:00:00,,2,Friday,1/15/16,573,1/13/17,462,1/12/18,637,1/11/19,948
123,,17:00:00,,2,Friday,1/15/16,873,1/13/17,736,1/12/18,1073,1/11/19,1322
124,,18:00:00,,2,Friday,1/15/16,1224,1/13/17,1412,1/12/18,1479,1/11/19,1382
125,,19:00:00,,2,Friday,1/15/16,1639,1/13/17,2012,1/12/18,1926,1/11/19,1889
126,,20:00:00,,2,Friday,1/15/16,1732,1/13/17,1507,1/12/18,2382,1/11/19,2070
127,,21:00:00,,2,Friday,1/15/16,1962,1/13/17,1651,1/12/18,2301,1/11/19,2438
128,,6:00:00,,2,Monday,1/11/16,364,1/9/17,334,1/8/18,281,1/7/19,72
129,,7:00:00,,2,Monday,1/11/16,566,1/9/17,323,1/8/18,685,1/7/19,559
130,,8:00:00,,2,Monday,1/11/16,737,1/9/17,778,1/8/18,1287,1/7/19,1196
131,,9:00:00,,2,Monday,1/11/16,1294,1/9/17,1279,1/8/18,1709,1/7/19,1850
132,,10:00:00,,2,Monday,1/11/16,1275,1/9/17,1116,1/8/18,1097,1/7/19,1000
133,,11:00:00,,2,Monday,1/11/16,707,1/9/17,594,1/8/18,1033,1/7/19,854
134,,12:00:00,,2,Monday,1/11/16,1006,1/9/17,1067,1/8/18,1100,1/7/19,1065
135,,13:00:00,,2,Monday,1/11/16,1798,1/9/17,1383,1/8/18,1650,1/7/19,1511
136,,14:00:00,,2,Monday,1/11/16,1188,1/9/17,1473,1/8/18,1129,1/7/19,1405
137,,15:00:00,,2,Monday,1/11/16,1027,1/9/17,827,1/8/18,746,1/7/19,930
138,,16:00:00,,2,Monday,1/11/16,717,1/9/17,758,1/8/18,664,1/7/19,915
139,,17:00:00,,2,Monday,1/11/16,891,1/9/17,744,1/8/18,965,1/7/19,1371
140,,18:00:00,,2,Monday,1/11/16,1169,1/9/17,1269,1/8/18,1496,1/7/19,1263
141,,19:00:00,,2,Monday,1/11/16,1513,1/9/17,1429,1/8/18,1708,1/7/19,1599
142,,20:00:00,,2,Monday,1/11/16,1691,1/9/17,1572,1/8/18,1778,1/7/19,2108
143,,21:00:00,,2,Monday,1/11/16,1853,1/9/17,1597,1/8/18,2192,1/7/19,1972
144,,6:00:00,,2,Saturday,1/16/16,374,1/14/17,302,1/13/18,199,1/12/19,157
145,,7:00:00,,2,Saturday,1/16/16,683,1/14/17,553,1/13/18,537,1/12/19,786
146,,8:00:00,,2,Saturday,1/16/16,776,1/14/17,845,1/13/18,1534,1/12/19,1874
147,,9:00:00,,2,Saturday,1/16/16,1626,1/14/17,1292,1/13/18,2021,1/12/19,1771
148,,10:00:00,,2,Saturday,1/16/16,1140,1/14/17,1313,1/13/18,1410,1/12/19,1129
149,,11:00:00,,2,Saturday,1/16/16,771,1/14/17,670,1/13/18,782,1/12/19,785
150,,12:00:00,,2,Saturday,1/16/16,1050,1/14/17,1125,1/13/18,1107,1/12/19,1285
151,,13:00:00,,2,Saturday,1/16/16,1564,1/14/17,1551,1/13/18,1646,1/12/19,1517
152,,14:00:00,,2,Saturday,1/16/16,1263,1/14/17,1141,1/13/18,1377,1/12/19,1482
153,,15:00:00,,2,Saturday,1/16/16,1064,1/14/17,599,1/13/18,884,1/12/19,897
154,,16:00:00,,2,Saturday,1/16/16,564,1/14/17,584,1/13/18,689,1/12/19,1200
155,,17:00:00,,2,Saturday,1/16/16,824,1/14/17,535,1/13/18,1108,1/12/19,1343
156,,18:00:00,,2,Saturday,1/16/16,1173,1/14/17,2087,1/13/18,1331,1/12/19,1225
157,,19:00:00,,2,Saturday,1/16/16,1709,1/14/17,1498,1/13/18,1791,1/12/19,1868
158,,20:00:00,,2,Saturday,1/16/16,1366,1/14/17,1585,1/13/18,2259,1/12/19,1940
159,,21:00:00,,2,Saturday,1/16/16,1625,1/14/17,1339,1/13/18,2383,1/12/19,2459
160,1/11/15,6:00:00,122,2,Sunday,1/17/16,317,1/15/17,276,1/14/18,117,1/13/19,127
161,1/11/15,7:00:00,378,2,Sunday,1/17/16,543,1/15/17,368,1/14/18,602,1/13/19,709
162,1/11/15,8:00:00,596,2,Sunday,1/17/16,961,1/15/17,894,1/14/18,1524,1/13/19,1642
163,1/11/15,9:00:00,1074,2,Sunday,1/17/16,1145,1/15/17,1398,1/14/18,2214,1/13/19,1991
164,1/11/15,10:00:00,783,2,Sunday,1/17/16,1038,1/15/17,1331,1/14/18,922,1/13/19,1218
165,1/11/15,11:00:00,477,2,Sunday,1/17/16,824,1/15/17,724,1/14/18,984,1/13/19,1060
166,1/11/15,12:00:00,1079,2,Sunday,1/17/16,810,1/15/17,864,1/14/18,978,1/13/19,1232
167,1/11/15,13:00:00,1084,2,Sunday,1/17/16,1002,1/15/17,1200,1/14/18,1458,1/13/19,1352
168,1/11/15,14:00:00,1088,2,Sunday,1/17/16,1402,1/15/17,1122,1/14/18,1265,1/13/19,1338
169,1/11/15,15:00:00,624,2,Sunday,1/17/16,697,1/15/17,534,1/14/18,883,1/13/19,864
170,1/11/15,16:00:00,627,2,Sunday,1/17/16,719,1/15/17,525,1/14/18,667,1/13/19,1127
171,1/11/15,17:00:00,1211,2,Sunday,1/17/16,761,1/15/17,814,1/14/18,896,1/13/19,1060
172,1/11/15,18:00:00,889,2,Sunday,1/17/16,1330,1/15/17,1250,1/14/18,1202,1/13/19,1190
173,1/11/15,19:00:00,1606,2,Sunday,1/17/16,1744,1/15/17,1688,1/14/18,1623,1/13/19,1862
174,1/11/15,20:00:00,1216,2,Sunday,1/17/16,1927,1/15/17,1601,1/14/18,2644,1/13/19,2298
175,1/11/15,21:00:00,1305,2,Sunday,1/17/16,1896,1/15/17,1528,1/14/18,2263,1/13/19,2405
176,,6:00:00,,2,Thursday,1/14/16,375,1/12/17,308,1/11/18,299,1/10/19,72
177,,7:00:00,,2,Thursday,1/14/16,621,1/12/17,393,1/11/18,797,1/10/19,773
178,,8:00:00,,2,Thursday,1/14/16,1000,1/12/17,738,1/11/18,1271,1/10/19,1679
179,,9:00:00,,2,Thursday,1/14/16,1422,1/12/17,1348,1/11/18,1721,1/10/19,1649
