Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday
0,1/11/15,13:00:00,50,2,Sunday
1,1/11/15,14:00:00,46,2,Sunday
2,1/11/15,16:00:00,75,2,Sunday
3,1/11/15,17:00:00,79,2,Sunday
4,1/11/15,19:00:00,227,2,Sunday
5,1/11/15,21:00:00,142,2,Sunday
6,1/12/15,19:00:00,221,3,Monday
7,1/13/15,15:00:00,63,3,Tuesday
8,1/13/15,19:00:00,97,3,Tuesday
9,1/13/15,20:00:00,39,3,Tuesday
10,1/14/15,15:00:00,154,3,Wednesday
11,1/14/15,16:00:00,13,3,Wednesday
12,1/14/15,19:00:00,52,3,Wednesday
13,1/14/15,20:00:00,70,3,Wednesday
14,1/14/15,21:00:00,5,3,Wednesday
15,1/15/15,18:00:00,87,3,Thursday
16,1/15/15,19:00:00,91,3,Thursday
17,1/15/15,20:00:00,56,3,Thursday
18,1/15/15,21:00:00,56,3,Thursday
19,1/16/15,14:00:00,57,3,Friday
20,1/16/15,15:00:00,150,3,Friday
21,1/16/15,16:00:00,29,3,Friday
22,1/17/15,14:00:00,108,3,Saturday
23,1/17/15,19:00:00,60,3,Saturday
24,1/17/15,20:00:00,39,3,Saturday
25,1/17/15,21:00:00,30,3,Saturday
26,1/18/15,14:00:00,63,3,Sunday
27,1/18/15,18:00:00,176,3,Sunday
28,1/18/15,19:00:00,93,3,Sunday
29,1/18/15,20:00:00,21,3,Sunday
30,1/18/15,21:00:00,66,3,Sunday
31,1/19/15,14:00:00,60,4,Monday
32,1/19/15,15:00:00,120,4,Monday
33,1/19/15,18:00:00,48,4,Monday
34,1/19/15,20:00:00,141,4,Monday
35,1/20/15,13:00:00,31,4,Tuesday
36,1/20/15,14:00:00,40,4,Tuesday
37,1/20/15,19:00:00,23,4,Tuesday
38,1/20/15,20:00:00,24,4,Tuesday
39,1/21/15,14:00:00,61,4,Wednesday
40,1/21/15,15:00:00,103,4,Wednesday
41,1/21/15,18:00:00,43,4,Wednesday
42,1/22/15,9:00:00,73,4,Thursday
43,1/22/15,14:00:00,64,4,Thursday
44,1/22/15,15:00:00,20,4,Thursday
45,1/22/15,18:00:00,152,4,Thursday
46,1/22/15,20:00:00,36,4,Thursday
47,1/23/15,14:00:00,70,4,Friday
48,1/23/15,15:00:00,101,4,Friday
49,1/23/15,18:00:00,21,4,Friday
50,1/23/15,19:00:00,92,4,Friday
51,1/23/15,20:00:00,89,4,Friday
52,1/23/15,21:00:00,71,4,Friday
53,1/24/15,14:00:00,72,4,Saturday
54,1/24/15,18:00:00,231,4,Saturday
55,1/24/15,19:00:00,83,4,Saturday
56,1/25/15,14:00:00,57,4,Sunday
57,1/25/15,19:00:00,101,4,Sunday
58,1/25/15,21:00:00,91,4,Sunday
59,1/26/15,14:00:00,100,5,Monday
60,1/26/15,16:00:00,109,5,Monday
61,1/26/15,19:00:00,44,5,Monday
62,1/27/15,14:00:00,49,5,Tuesday
63,1/27/15,19:00:00,108,5,Tuesday
64,1/27/15,20:00:00,54,5,Tuesday
65,1/28/15,14:00:00,51,5,Wednesday
66,1/28/15,16:00:00,71,5,Wednesday
67,1/28/15,19:00:00,167,5,Wednesday
68,1/28/15,20:00:00,21,5,Wednesday
69,1/29/15,14:00:00,64,5,Thursday
70,1/29/15,18:00:00,30,5,Thursday
71,1/29/15,19:00:00,160,5,Thursday
72,1/29/15,20:00:00,48,5,Thursday
73,1/30/15,14:00:00,119,5,Friday
74,1/30/15,16:00:00,47,5,Friday
75,1/30/15,18:00:00,35,5,Friday
76,1/30/15,19:00:00,138,5,Friday
77,1/30/15,20:00:00,16,5,Friday
78,1/30/15,21:00:00,140,5,Friday
79,1/31/15,14:00:00,99,5,Saturday
80,1/31/15,18:00:00,127,5,Saturday
81,1/31/15,19:00:00,71,5,Saturday
82,1/31/15,20:00:00,42,5,Saturday
83,1/31/15,21:00:00,95,5,Saturday
84,2/1/15,14:00:00,74,5,Sunday
85,2/1/15,19:00:00,110,5,Sunday
86,2/1/15,20:00:00,78,5,Sunday
87,2/1/15,21:00:00,19,5,Sunday
88,2/2/15,14:00:00,76,6,Monday
89,2/2/15,15:00:00,37,6,Monday
90,2/2/15,16:00:00,37,6,Monday
91,2/2/15,18:00:00,52,6,Monday
92,2/3/15,18:00:00,104,6,Tuesday
93,2/3/15,19:00:00,37,6,Tuesday
94,2/3/15,20:00:00,40,6,Tuesday
95,2/4/15,14:00:00,63,6,Wednesday
96,2/4/15,15:00:00,54,6,Wednesday
97,2/4/15,18:00:00,39,6,Wednesday
98,2/4/15,19:00:00,93,6,Wednesday
99,2/4/15,20:00:00,32,6,Wednesday
100,2/4/15,21:00:00,120,6,Wednesday
101,2/5/15,14:00:00,69,6,Thursday
102,2/5/15,19:00:00,56,6,Thursday
103,2/5/15,20:00:00,43,6,Thursday
104,2/5/15,21:00:00,30,6,Thursday
105,2/6/15,14:00:00,83,6,Friday
106,2/6/15,15:00:00,72,6,Friday
107,2/6/15,19:00:00,88,6,Friday
108,2/6/15,20:00:00,10,6,Friday
109,2/7/15,14:00:00,78,6,Saturday
110,2/7/15,17:00:00,26,6,Saturday
111,2/7/15,18:00:00,92,6,Saturday
112,2/7/15,19:00:00,52,6,Saturday
113,2/7/15,20:00:00,67,6,Saturday
114,2/7/15,21:00:00,141,6,Saturday
115,2/8/15,14:00:00,60,6,Sunday
116,2/8/15,17:00:00,69,6,Sunday
117,2/8/15,18:00:00,79,6,Sunday
118,2/8/15,19:00:00,26,6,Sunday
119,2/8/15,20:00:00,27,6,Sunday
120,2/8/15,21:00:00,136,6,Sunday
121,2/9/15,14:00:00,73,7,Monday
122,2/9/15,15:00:00,35,7,Monday
123,2/9/15,19:00:00,31,7,Monday
124,2/10/15,14:00:00,52,7,Tuesday
125,2/10/15,18:00:00,48,7,Tuesday
126,2/10/15,19:00:00,61,7,Tuesday
127,2/10/15,20:00:00,44,7,Tuesday
128,2/11/15,14:00:00,84,7,Wednesday
129,2/11/15,17:00:00,26,7,Wednesday
130,2/11/15,18:00:00,93,7,Wednesday
131,2/11/15,19:00:00,43,7,Wednesday
132,2/11/15,20:00:00,74,7,Wednesday
133,2/11/15,21:00:00,29,7,Wednesday
134,2/12/15,14:00:00,58,7,Thursday
135,2/12/15,18:00:00,54,7,Thursday
136,2/12/15,21:00:00,55,7,Thursday
137,2/13/15,14:00:00,83,7,Friday
138,2/13/15,16:00:00,18,7,Friday
139,2/13/15,18:00:00,54,7,Friday
140,2/13/15,19:00:00,84,7,Friday
141,2/14/15,14:00:00,42,7,Saturday
142,2/14/15,15:00:00,42,7,Saturday
143,2/14/15,17:00:00,73,7,Saturday
144,2/14/15,18:00:00,70,7,Saturday
145,2/14/15,19:00:00,65,7,Saturday
146,2/14/15,21:00:00,131,7,Saturday
147,2/15/15,14:00:00,34,7,Sunday
148,2/15/15,15:00:00,29,7,Sunday
149,2/15/15,18:00:00,128,7,Sunday
150,2/15/15,19:00:00,144,7,Sunday
151,2/16/15,14:00:00,29,8,Monday
152,2/16/15,15:00:00,28,8,Monday
153,2/16/15,16:00:00,49,8,Monday
154,2/16/15,19:00:00,87,8,Monday
155,2/16/15,20:00:00,75,8,Monday
156,2/16/15,21:00:00,77,8,Monday
157,2/17/15,14:00:00,33,8,Tuesday
158,2/17/15,18:00:00,126,8,Tuesday
159,2/17/15,19:00:00,14,8,Tuesday
160,2/17/15,21:00:00,107,8,Tuesday
161,2/18/15,14:00:00,53,8,Wednesday
162,2/18/15,15:00:00,19,8,Wednesday
163,2/18/15,19:00:00,111,8,Wednesday
164,2/18/15,20:00:00,51,8,Wednesday
165,2/18/15,21:00:00,97,8,Wednesday
166,2/19/15,14:00:00,67,8,Thursday
167,2/19/15,19:00:00,47,8,Thursday
168,2/19/15,20:00:00,40,8,Thursday
169,2/20/15,14:00:00,80,8,Friday
170,2/20/15,16:00:00,42,8,Friday
171,2/20/15,19:00:00,96,8,Friday
172,2/20/15,20:00:00,65,8,Friday
173,2/21/15,14:00:00,100,8,Saturday
174,2/21/15,17:00:00,11,8,Saturday
175,2/21/15,18:00:00,175,8,Saturday
176,2/21/15,19:00:00,35,8,Saturday
177,2/21/15,20:00:00,36,8,Saturday
178,2/21/15,21:00:00,13,8,Saturday
179,2/22/15,18:00:00,148,8,Sunday
180,2/22/15,19:00:00,124,8,Sunday
181,2/22/15,20:00:00,66,8,Sunday
182,2/23/15,14:00:00,80,9,Monday
183,2/23/15,16:00:00,83,9,Monday
184,2/23/15,19:00:00,66,9,Monday
185,2/24/15,14:00:00,62,9,Tuesday
186,2/24/15,17:00:00,133,9,Tuesday
187,2/24/15,18:00:00,40,9,Tuesday
188,2/24/15,21:00:00,40,9,Tuesday
189,2/25/15,15:00:00,130,9,Wednesday
190,2/25/15,17:00:00,24,9,Wednesday
191,2/25/15,19:00:00,152,9,Wednesday
192,2/25/15,20:00:00,147,9,Wednesday
193,2/25/15,21:00:00,31,9,Wednesday
194,2/26/15,14:00:00,81,9,Thursday
195,2/26/15,18:00:00,44,9,Thursday
196,2/26/15,20:00:00,50,9,Thursday
197,2/26/15,21:00:00,70,9,Thursday
198,2/27/15,14:00:00,125,9,Friday
199,2/27/15,16:00:00,43,9,Friday
200,2/27/15,19:00:00,181,9,Friday
201,2/27/15,20:00:00,39,9,Friday
202,2/28/15,15:00:00,66,9,Saturday
203,2/28/15,18:00:00,150,9,Saturday
204,2/28/15,20:00:00,47,9,Saturday
205,3/1/15,14:00:00,63,9,Sunday
206,3/1/15,15:00:00,26,9,Sunday
207,3/1/15,18:00:00,195,9,Sunday
208,3/1/15,19:00:00,79,9,Sunday
209,3/1/15,20:00:00,39,9,Sunday
210,3/1/15,21:00:00,159,9,Sunday
211,3/2/15,14:00:00,58,10,Monday
212,3/2/15,16:00:00,54,10,Monday
213,3/2/15,19:00:00,58,10,Monday
214,3/2/15,20:00:00,149,10,Monday
215,3/3/15,14:00:00,73,10,Tuesday
216,3/3/15,18:00:00,26,10,Tuesday
217,3/3/15,20:00:00,41,10,Tuesday
218,3/4/15,14:00:00,60,10,Wednesday
219,3/4/15,15:00:00,56,10,Wednesday
220,3/4/15,19:00:00,193,10,Wednesday
221,3/5/15,14:00:00,75,10,Thursday
222,3/5/15,18:00:00,195,10,Thursday
223,3/5/15,20:00:00,70,10,Thursday
224,3/5/15,21:00:00,89,10,Thursday
225,3/6/15,14:00:00,85,10,Friday
226,3/6/15,16:00:00,40,10,Friday
227,3/6/15,18:00:00,27,10,Friday
228,3/6/15,19:00:00,167,10,Friday
229,3/6/15,20:00:00,95,10,Friday
230,3/6/15,21:00:00,120,10,Friday
231,3/7/15,14:00:00,85,10,Saturday
232,3/7/15,18:00:00,179,10,Saturday
233,3/7/15,19:00:00,15,10,Saturday
234,3/7/15,20:00:00,20,10,Saturday
235,3/8/15,15:00:00,52,10,Sunday
236,3/8/15,20:00:00,129,10,Sunday
237,3/8/15,21:00:00,130,10,Sunday
238,3/9/15,15:00:00,48,11,Monday
239,3/9/15,17:00:00,54,11,Monday
240,3/9/15,19:00:00,30,11,Monday
241,3/10/15,15:00:00,43,11,Tuesday
242,3/10/15,20:00:00,26,11,Tuesday
243,3/10/15,21:00:00,11,11,Tuesday
244,3/11/15,15:00:00,53,11,Wednesday
245,3/11/15,17:00:00,72,11,Wednesday
246,3/11/15,19:00:00,103,11,Wednesday
247,3/11/15,20:00:00,46,11,Wednesday
248,3/12/15,15:00:00,93,11,Thursday
249,3/12/15,18:00:00,35,11,Thursday
250,3/12/15,19:00:00,93,11,Thursday
251,3/13/15,14:00:00,88,11,Friday
252,3/13/15,15:00:00,56,11,Friday
253,3/13/15,19:00:00,49,11,Friday
254,3/13/15,20:00:00,115,11,Friday
255,3/13/15,21:00:00,50,11,Friday
256,3/14/15,15:00:00,43,11,Saturday
257,3/14/15,16:00:00,34,11,Saturday
258,3/14/15,19:00:00,177,11,Saturday
259,3/14/15,21:00:00,36,11,Saturday
260,3/15/15,15:00:00,42,11,Sunday
261,3/15/15,20:00:00,35,11,Sunday
262,3/15/15,21:00:00,108,11,Sunday
263,3/16/15,15:00:00,56,12,Monday
264,3/16/15,17:00:00,59,12,Monday
265,3/16/15,19:00:00,29,12,Monday
266,3/17/15,15:00:00,51,12,Tuesday
267,3/17/15,20:00:00,46,12,Tuesday
268,3/17/15,21:00:00,7,12,Tuesday
269,3/18/15,15:00:00,20,12,Wednesday
270,3/18/15,16:00:00,49,12,Wednesday
271,3/18/15,17:00:00,36,12,Wednesday
272,3/18/15,21:00:00,113,12,Wednesday
273,3/19/15,15:00:00,85,12,Thursday
274,3/19/15,19:00:00,193,12,Thursday
275,3/19/15,21:00:00,70,12,Thursday
276,3/20/15,15:00:00,61,12,Friday
277,3/20/15,16:00:00,100,12,Friday
278,3/20/15,19:00:00,26,12,Friday
279,3/20/15,20:00:00,117,12,Friday
280,3/21/15,15:00:00,67,12,Saturday
281,3/21/15,20:00:00,222,12,Saturday
282,3/22/15,15:00:00,63,12,Sunday
283,3/22/15,16:00:00,63,12,Sunday
284,3/22/15,18:00:00,150,12,Sunday
285,3/22/15,20:00:00,78,12,Sunday
286,3/23/15,15:00:00,33,13,Monday
287,3/23/15,16:00:00,34,13,Monday
288,3/23/15,17:00:00,42,13,Monday
289,3/23/15,20:00:00,44,13,Monday
290,3/24/15,20:00:00,26,13,Tuesday
291,3/24/15,21:00:00,28,13,Tuesday
292,3/25/15,15:00:00,71,13,Wednesday
293,3/25/15,17:00:00,38,13,Wednesday
294,3/25/15,19:00:00,58,13,Wednesday
295,3/25/15,20:00:00,97,13,Wednesday
296,3/25/15,21:00:00,32,13,Wednesday
297,3/26/15,15:00:00,51,13,Thursday
298,3/26/15,19:00:00,140,13,Thursday
299,3/26/15,20:00:00,67,13,Thursday
300,3/27/15,15:00:00,92,13,Friday
301,3/27/15,17:00:00,60,13,Friday
302,3/27/15,19:00:00,56,13,Friday
303,3/27/15,20:00:00,105,13,Friday
304,3/27/15,21:00:00,5,13,Friday
305,3/28/15,15:00:00,78,13,Saturday
306,3/28/15,18:00:00,147,13,Saturday
307,3/29/15,15:00:00,37,13,Sunday
308,3/29/15,20:00:00,45,13,Sunday
309,3/29/15,21:00:00,146,13,Sunday
310,3/30/15,12:00:00,137,14,Monday
311,3/30/15,20:00:00,44,14,Monday
312,3/31/15,15:00:00,63,14,Tuesday
313,3/31/15,20:00:00,48,14,Tuesday
314,4/1/15,15:00:00,54,14,Wednesday
315,4/1/15,16:00:00,154,14,Wednesday
316,4/1/15,20:00:00,179,14,Wednesday
317,4/2/15,12:00:00,146,14,Thursday
318,4/2/15,14:00:00,64,14,Thursday
319,4/2/15,19:00:00,68,14,Thursday
320,4/2/15,21:00:00,46,14,Thursday
321,4/3/15,11:00:00,131,14,Friday
322,4/3/15,15:00:00,47,14,Friday
323,4/3/15,16:00:00,72,14,Friday
324,4/3/15,19:00:00,147,14,Friday
325,4/3/15,20:00:00,45,14,Friday
326,4/4/15,15:00:00,54,14,Saturday
327,4/4/15,19:00:00,32,14,Saturday
328,4/4/15,21:00:00,19,14,Saturday
329,4/5/15,15:00:00,54,14,Sunday
330,4/5/15,19:00:00,133,14,Sunday
331,4/6/15,11:00:00,133,15,Monday
332,4/6/15,15:00:00,126,15,Monday
333,4/6/15,20:00:00,67,15,Monday
334,4/7/15,14:00:00,54,15,Tuesday
335,4/7/15,15:00:00,26,15,Tuesday
336,4/7/15,20:00:00,26,15,Tuesday
337,4/8/15,11:00:00,107,15,Wednesday
338,4/8/15,15:00:00,49,15,Wednesday
339,4/8/15,16:00:00,172,15,Wednesday
340,4/8/15,19:00:00,130,15,Wednesday
341,4/8/15,20:00:00,25,15,Wednesday
342,4/9/15,11:00:00,46,15,Thursday
343,4/9/15,14:00:00,100,15,Thursday
344,4/9/15,15:00:00,66,15,Thursday
345,4/9/15,19:00:00,29,15,Thursday
346,4/10/15,11:00:00,71,15,Friday
347,4/10/15,14:00:00,175,15,Friday
348,4/10/15,15:00:00,67,15,Friday
349,4/10/15,16:00:00,66,15,Friday
350,4/10/15,18:00:00,117,15,Friday
351,4/10/15,19:00:00,20,15,Friday
352,4/11/15,11:00:00,80,15,Saturday
353,4/11/15,14:00:00,36,15,Saturday
354,4/11/15,15:00:00,183,15,Saturday
355,4/11/15,19:00:00,52,15,Saturday
356,4/12/15,11:00:00,118,15,Sunday
357,4/12/15,14:00:00,27,15,Sunday
358,4/12/15,15:00:00,169,15,Sunday
359,4/12/15,18:00:00,142,15,Sunday
360,4/12/15,20:00:00,45,15,Sunday
361,4/13/15,11:00:00,85,16,Monday
362,4/13/15,12:00:00,27,16,Monday
363,4/13/15,20:00:00,39,16,Monday
364,4/14/15,15:00:00,54,16,Tuesday
365,4/14/15,16:00:00,99,16,Tuesday
366,4/14/15,20:00:00,33,16,Tuesday
367,4/15/15,15:00:00,152,16,Wednesday
368,4/15/15,16:00:00,90,16,Wednesday
369,4/15/15,18:00:00,147,16,Wednesday
370,4/15/15,19:00:00,27,16,Wednesday
371,4/16/15,11:00:00,113,16,Thursday
372,4/16/15,15:00:00,101,16,Thursday
373,4/16/15,18:00:00,48,16,Thursday
