Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday
0,1/11/15,6:00:00,151,2,Sunday
1,1/11/15,7:00:00,47,2,Sunday
2,1/11/15,8:00:00,47,2,Sunday
3,1/11/15,9:00:00,73,2,Sunday
4,1/11/15,10:00:00,53,2,Sunday
5,1/11/15,11:00:00,47,2,Sunday
6,1/11/15,12:00:00,70,2,Sunday
7,1/11/15,13:00:00,98,2,Sunday
8,1/11/15,14:00:00,170,2,Sunday
9,1/11/15,15:00:00,128,2,Sunday
10,1/11/15,16:00:00,46,2,Sunday
11,1/11/15,17:00:00,65,2,Sunday
12,1/11/15,18:00:00,112,2,Sunday
13,1/11/15,19:00:00,152,2,Sunday
14,1/11/15,20:00:00,158,2,Sunday
15,1/11/15,21:00:00,116,2,Sunday
16,1/12/15,6:00:00,166,3,Monday
17,1/12/15,7:00:00,58,3,Monday
18,1/12/15,8:00:00,58,3,Monday
19,1/12/15,9:00:00,120,3,Monday
20,1/12/15,10:00:00,104,3,Monday
21,1/12/15,11:00:00,69,3,Monday
22,1/12/15,12:00:00,89,3,Monday
23,1/12/15,13:00:00,161,3,Monday
24,1/12/15,14:00:00,138,3,Monday
25,1/12/15,15:00:00,149,3,Monday
26,1/12/15,16:00:00,70,3,Monday
27,1/12/15,17:00:00,105,3,Monday
28,1/12/15,18:00:00,78,3,Monday
29,1/12/15,19:00:00,134,3,Monday
30,1/12/15,20:00:00,132,3,Monday
31,1/12/15,21:00:00,210,3,Monday
32,1/13/15,6:00:00,171,3,Tuesday
33,1/13/15,7:00:00,38,3,Tuesday
34,1/13/15,8:00:00,47,3,Tuesday
35,1/13/15,9:00:00,74,3,Tuesday
36,1/13/15,10:00:00,87,3,Tuesday
37,1/13/15,11:00:00,87,3,Tuesday
38,1/13/15,12:00:00,122,3,Tuesday
39,1/13/15,13:00:00,122,3,Tuesday
40,1/13/15,14:00:00,140,3,Tuesday
41,1/13/15,15:00:00,103,3,Tuesday
42,1/13/15,16:00:00,36,3,Tuesday
43,1/13/15,17:00:00,104,3,Tuesday
44,1/13/15,18:00:00,96,3,Tuesday
45,1/13/15,19:00:00,84,3,Tuesday
46,1/13/15,20:00:00,214,3,Tuesday
47,1/13/15,21:00:00,160,3,Tuesday
48,1/14/15,6:00:00,190,3,Wednesday
49,1/14/15,7:00:00,20,3,Wednesday
50,1/14/15,8:00:00,74,3,Wednesday
51,1/14/15,9:00:00,104,3,Wednesday
52,1/14/15,10:00:00,133,3,Wednesday
53,1/14/15,11:00:00,63,3,Wednesday
54,1/14/15,12:00:00,90,3,Wednesday
55,1/14/15,13:00:00,145,3,Wednesday
56,1/14/15,14:00:00,55,3,Wednesday
57,1/14/15,15:00:00,99,3,Wednesday
58,1/14/15,16:00:00,105,3,Wednesday
59,1/14/15,17:00:00,76,3,Wednesday
60,1/14/15,18:00:00,126,3,Wednesday
61,1/14/15,19:00:00,123,3,Wednesday
