Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday
0,1/11/15,5:00:00,5,2,Sunday
1,1/11/15,6:00:00,91,2,Sunday
2,1/11/15,7:00:00,145,2,Sunday
3,1/11/15,17:00:00,68,2,Sunday
4,1/11/15,18:00:00,85,2,Sunday
5,1/12/15,5:00:00,22,3,Monday
6,1/12/15,6:00:00,119,3,Monday
7,1/12/15,7:00:00,107,3,Monday
8,1/12/15,8:00:00,5,3,Monday
9,1/12/15,9:00:00,72,3,Monday
10,1/12/15,10:00:00,24,3,Monday
11,1/12/15,18:00:00,59,3,Monday
12,1/12/15,19:00:00,39,3,Monday
13,1/13/15,5:00:00,22,3,Tuesday
14,1/13/15,6:00:00,92,3,Tuesday
15,1/13/15,7:00:00,102,3,Tuesday
16,1/13/15,8:00:00,17,3,Tuesday
17,1/13/15,9:00:00,25,3,Tuesday
18,1/13/15,10:00:00,31,3,Tuesday
19,1/13/15,17:00:00,36,3,Tuesday
20,1/13/15,18:00:00,44,3,Tuesday
21,1/14/15,5:00:00,10,3,Wednesday
22,1/14/15,6:00:00,119,3,Wednesday
23,1/14/15,7:00:00,108,3,Wednesday
24,1/14/15,10:00:00,66,3,Wednesday
25,1/14/15,11:00:00,1,3,Wednesday
26,1/14/15,17:00:00,49,3,Wednesday
27,1/14/15,18:00:00,25,3,Wednesday
28,1/15/15,5:00:00,56,3,Thursday
29,1/15/15,6:00:00,178,3,Thursday
30,1/15/15,7:00:00,71,3,Thursday
31,1/15/15,9:00:00,36,3,Thursday
32,1/15/15,10:00:00,58,3,Thursday
33,1/15/15,18:00:00,44,3,Thursday
34,1/15/15,19:00:00,36,3,Thursday
35,1/16/15,5:00:00,12,3,Friday
36,1/16/15,6:00:00,111,3,Friday
37,1/16/15,7:00:00,113,3,Friday
38,1/16/15,16:00:00,81,3,Friday
39,1/16/15,17:00:00,47,3,Friday
40,1/17/15,5:00:00,18,3,Saturday
41,1/17/15,6:00:00,107,3,Saturday
42,1/17/15,7:00:00,48,3,Saturday
43,1/17/15,17:00:00,71,3,Saturday
44,1/17/15,18:00:00,55,3,Saturday
45,1/18/15,5:00:00,13,3,Sunday
46,1/18/15,6:00:00,100,3,Sunday
47,1/18/15,7:00:00,85,3,Sunday
48,1/18/15,18:00:00,33,3,Sunday
49,1/18/15,19:00:00,131,3,Sunday
50,1/19/15,5:00:00,33,4,Monday
51,1/19/15,6:00:00,188,4,Monday
52,1/19/15,7:00:00,34,4,Monday
53,1/19/15,10:00:00,164,4,Monday
54,1/19/15,17:00:00,78,4,Monday
55,1/19/15,18:00:00,89,4,Monday
56,1/20/15,5:00:00,23,4,Tuesday
57,1/20/15,6:00:00,113,4,Tuesday
58,1/20/15,7:00:00,16,4,Tuesday
59,1/20/15,9:00:00,49,4,Tuesday
60,1/20/15,10:00:00,93,4,Tuesday
61,1/20/15,11:00:00,1,4,Tuesday
62,1/20/15,17:00:00,30,4,Tuesday
63,1/20/15,18:00:00,62,4,Tuesday
64,1/20/15,19:00:00,31,4,Tuesday
65,1/21/15,5:00:00,17,4,Wednesday
66,1/21/15,6:00:00,103,4,Wednesday
67,1/21/15,7:00:00,36,4,Wednesday
68,1/21/15,9:00:00,20,4,Wednesday
69,1/21/15,10:00:00,108,4,Wednesday
70,1/21/15,17:00:00,52,4,Wednesday
71,1/21/15,18:00:00,55,4,Wednesday
72,1/22/15,5:00:00,25,4,Thursday
73,1/22/15,6:00:00,121,4,Thursday
74,1/22/15,7:00:00,42,4,Thursday
