Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday,Date_2016,Throughput_2016,Date_2017,Throughput_2017,Date_2018,Throughput_2018,Date_2019,Throughput_2019
0,,4:00:00,,1,Friday,1/8/16,147,,,,,,
1,,5:00:00,,1,Friday,1/8/16,248,,,,,,
2,,6:00:00,,1,Friday,1/8/16,509,,,,,,
3,,7:00:00,,1,Friday,1/8/16,676,,,,,,
4,,8:00:00,,1,Friday,1/8/16,780,,,,,,
5,,9:00:00,,1,Friday,1/8/16,816,,,,,,
6,,10:00:00,,1,Friday,1/8/16,538,,,,,,
7,,11:00:00,,1,Friday,1/8/16,484,,,,,,
8,,12:00:00,,1,Friday,1/8/16,434,,,,,,
9,,13:00:00,,1,Friday,1/8/16,694,,,,,,
10,,14:00:00,,1,Friday,1/8/16,644,,,,,,
11,,15:00:00,,1,Friday,1/8/16,746,,,,,,
12,,16:00:00,,1,Friday,1/8/16,495,,,,,,
13,,17:00:00,,1,Friday,1/8/16,234,,,,,,
14,,18:00:00,,1,Friday,1/8/16,242,,,,,,
15,,19:00:00,,1,Friday,1/8/16,311,,,,,,
16,,20:00:00,,1,Friday,1/8/16,301,,,,,,
17,,21:00:00,,1,Friday,1/8/16,315,,,,,,
18,,4:00:00,,1,Monday,1/4/16,120,,,12/31/18,296,12/30/19,276
19,,5:00:00,,1,Monday,1/4/16,326,,,12/31/18,332,12/30/19,471
20,,6:00:00,,1,Monday,1/4/16,483,,,12/31/18,585,12/30/19,871
21,,7:00:00,,1,Monday,1/4/16,916,,,12/31/18,861,12/30/19,1177
22,,8:00:00,,1,Monday,1/4/16,1208,,,12/31/18,1318,12/30/19,1281
23,,9:00:00,,1,Monday,1/4/16,987,,,12/31/18,990,12/30/19,1239
24,,10:00:00,,1,Monday,1/4/16,597,,,12/31/18,685,12/30/19,764
25,,11:00:00,,1,Monday,1/4/16,485,,,12/31/18,602,12/30/19,718
26,,12:00:00,,1,Monday,1/4/16,705,,,12/31/18,710,12/30/19,948
27,,13:00:00,,1,Monday,1/4/16,643,,,12/31/18,670,12/30/19,744
28,,14:00:00,,1,Monday,1/4/16,603,,,12/31/18,668,12/30/19,788
29,,15:00:00,,1,Monday,1/4/16,842,,,12/31/18,689,12/30/19,861
30,,16:00:00,,1,Monday,1/4/16,446,,,12/31/18,435,12/30/19,838
31,,17:00:00,,1,Monday,1/4/16,546,,,12/31/18,220,12/30/19,509
32,,18:00:00,,1,Monday,1/4/16,471,,,12/31/18,134,12/30/19,687
33,,19:00:00,,1,Monday,1/4/16,509,,,12/31/18,445,12/30/19,415
34,,20:00:00,,1,Monday,1/4/16,367,,,12/31/18,205,12/30/19,546
35,,21:00:00,,1,Monday,1/4/16,371,,,12/31/18,332,12/30/19,814
36,,4:00:00,,1,Saturday,1/9/16,211,,,,,,
37,,5:00:00,,1,Saturday,1/9/16,195,,,,,,
38,,6:00:00,,1,Saturday,1/9/16,371,,,,,,
39,,7:00:00,,1,Saturday,1/9/16,443,,,,,,
40,,8:00:00,,1,Saturday,1/9/16,704,,,,,,
41,,9:00:00,,1,Saturday,1/9/16,782,,,,,,
42,,10:00:00,,1,Saturday,1/9/16,391,,,,,,
43,,11:00:00,,1,Saturday,1/9/16,372,,,,,,
44,,12:00:00,,1,Saturday,1/9/16,292,,,,,,
45,,13:00:00,,1,Saturday,1/9/16,448,,,,,,
46,,14:00:00,,1,Saturday,1/9/16,488,,,,,,
47,,15:00:00,,1,Saturday,1/9/16,389,,,,,,
48,,16:00:00,,1,Saturday,1/9/16,264,,,,,,
49,,17:00:00,,1,Saturday,1/9/16,235,,,,,,
50,,18:00:00,,1,Saturday,1/9/16,213,,,,,,
51,,19:00:00,,1,Saturday,1/9/16,414,,,,,,
52,,20:00:00,,1,Saturday,1/9/16,326,,,,,,
53,,21:00:00,,1,Saturday,1/9/16,352,,,,,,
54,,4:00:00,,1,Sunday,1/10/16,200,1/8/17,236,1/7/18,323,1/6/19,293
55,,5:00:00,,1,Sunday,1/10/16,255,1/8/17,340,1/7/18,298,1/6/19,434
56,,6:00:00,,1,Sunday,1/10/16,491,1/8/17,510,1/7/18,630,1/6/19,533
57,,7:00:00,,1,Sunday,1/10/16,574,1/8/17,687,1/7/18,859,1/6/19,828
58,,8:00:00,,1,Sunday,1/10/16,792,1/8/17,1031,1/7/18,1123,1/6/19,989
59,,9:00:00,,1,Sunday,1/10/16,682,1/8/17,616,1/7/18,1114,1/6/19,901
60,,10:00:00,,1,Sunday,1/10/16,605,1/8/17,793,1/7/18,541,1/6/19,652
61,,11:00:00,,1,Sunday,1/10/16,371,1/8/17,638,1/7/18,483,1/6/19,608
62,,12:00:00,,1,Sunday,1/10/16,466,1/8/17,691,1/7/18,792,1/6/19,837
63,,13:00:00,,1,Sunday,1/10/16,769,1/8/17,639,1/7/18,675,1/6/19,790
64,,14:00:00,,1,Sunday,1/10/16,617,1/8/17,584,1/7/18,820,1/6/19,717
65,,15:00:00,,1,Sunday,1/10/16,651,1/8/17,634,1/7/18,821,1/6/19,555
66,,16:00:00,,1,Sunday,1/10/16,478,1/8/17,462,1/7/18,787,1/6/19,703
67,,17:00:00,,1,Sunday,1/10/16,424,1/8/17,411,1/7/18,465,1/6/19,555
68,,18:00:00,,1,Sunday,1/10/16,380,1/8/17,433,1/7/18,437,1/6/19,543
69,,19:00:00,,1,Sunday,1/10/16,327,1/8/17,489,1/7/18,516,1/6/19,429
70,,20:00:00,,1,Sunday,1/10/16,294,1/8/17,194,1/7/18,482,1/6/19,422
71,,21:00:00,,1,Sunday,1/10/16,375,1/8/17,509,1/7/18,143,1/6/19,356
72,,4:00:00,,1,Thursday,1/7/16,170,,,,,,
73,,5:00:00,,1,Thursday,1/7/16,244,,,,,,
74,,6:00:00,,1,Thursday,1/7/16,548,,,,,,
75,,7:00:00,,1,Thursday,1/7/16,574,,,,,,
76,,8:00:00,,1,Thursday,1/7/16,759,,,,,,
77,,9:00:00,,1,Thursday,1/7/16,695,,,,,,
78,,10:00:00,,1,Thursday,1/7/16,545,,,,,,
79,,11:00:00,,1,Thursday,1/7/16,357,,,,,,
80,,12:00:00,,1,Thursday,1/7/16,473,,,,,,
81,,13:00:00,,1,Thursday,1/7/16,505,,,,,,
82,,14:00:00,,1,Thursday,1/7/16,667,,,,,,
83,,15:00:00,,1,Thursday,1/7/16,523,,,,,,
